iter	Passed	Remaining
1029	4420	8454
1030	4423	8448
1031	4426	8441
1032	4430	8436
1033	4433	8430
1034	4437	8424
1035	4440	8417
1036	4444	8412
1037	4449	8409
1038	4456	8410
1039	4461	8407
1040	4464	8401
1041	4468	8395
1042	4471	8390
1043	4475	8385
1044	4478	8379
1045	4482	8373
1046	4486	8368
1047	4489	8361
1048	4492	8355
1049	4495	8349
1050	4499	8343
1051	4503	8338
1052	4506	8333
1053	4511	8329
1054	4514	8322
1055	4518	8317
1056	4521	8311
1057	4525	8307
1058	4529	8302
1059	4533	8297
1060	4536	8290
1061	4540	8285
1062	4544	8280
1063	4548	8275
1064	4551	8269
1065	4554	8262
1066	4557	8256
1067	4563	8254
1068	4567	8251
1069	4571	8244
1070	4574	8239
1071	4579	8235
1072	4582	8230
1073	4586	8225
1074	4592	8223
1075	4596	8218
1076	4599	8212
1077	4602	8206
1078	4605	8199
1079	4609	8193
1080	4612	8187
1081	4616	8183
1082	4620	8178
1083	4625	8175
1084	4629	8170
1085	4632	8164
1086	4636	8158
1087	4640	8154
1088	4643	8148
1089	4647	8144
1090	4651	8138
1091	4654	8132
1092	4659	8128
1093	4662	8123
1094	4666	8118
1095	4669	8112
1096	4673	8106
1097	4677	8102
1098	4680	8096
1099	4684	8091
1100	4687	8085
1101	4691	8079
1102	4694	8073
1103	4698	8069
1104	4702	8063
1105	4704	8057
1106	4709	8052
1107	4714	8050
1108	4719	8047
1109	4723	8042
1110	4727	8038
1111	4731	8032
1112	4734	8026
1113	4737	8021
1114	4740	8014
1115	4744	8009
1116	4749	8005
1117	4752	8000
1118	4756	7994
1119	4759	7989
1120	4763	7983
1121	4766	7978
1122	4769	7972
1123	4772	7966
1124	4776	7961
1125	4780	7955
1126	4786	7954
1127	4788	7947
1128	4792	7942
1129	4797	7938
1130	4801	7934
1131	4806	7931
1132	4809	7925
1133	4814	7922
1134	4819	7918
1135	4823	7914
1136	4827	7910
1137	4832	7906
1138	4835	7901
1139	4839	7896
1140	4843	7891
1141	4847	7885
1142	4851	7881
1143	4854	7875
1144	4858	7871
1145	4863	7868
1146	4867	7863
1147	4870	7857
1148	4874	7852
1149	4877	7846
1150	4881	7841
1151	4885	7837
1152	4888	7831
1153	4892	7826
1154	4896	7822
1155	4899	7815
1156	4902	7809
1157	4907	7805
1158	4910	7800
1159	4913	7794
1160	4921	7795
1161	4925	7790
1162	4928	7784
1163	4932	7779
1164	4936	7775
1165	4939	7768
1166	4942	7762
1167	4945	7757
1168	4948	7751
1169	4953	7747
1170	4957	7742
1171	4961	7737
1172	4964	7732
1173	4967	7727
1174	4971	7722
1175	4975	7716
1176	4978	7710
1177	4981	7704
1178	4985	7700
1179	4990	7697
1180	4993	7691
1181	4997	7685
1182	5000	7680
1183	5003	7674
1184	5007	7670
1185	5010	7664
1186	5014	7658
1187	5018	7653
1188	5021	7647
1189	5024	7641
1190	5028	7637
1191	5032	7633
1192	5035	7627
1193	5040	7623
1194	5043	7617
1195	5048	7614
1196	5051	7608
1197	5055	7603
1198	5060	7601
1199	5065	7597
1200	5069	7593
1201	5072	7587
1202	5077	7583
1203	5082	7580
1204	5086	7577
1205	5090	7572
1206	5094	7567
1207	5097	7562
1208	5101	7556
1209	5106	7553
1210	5109	7548
1211	5113	7543
1212	5118	7541
1213	5123	7537
1214	5127	7532
1215	5131	7528
1216	5144	7536
1217	5148	7532
1218	5154	7530
1219	5157	7525
1220	5161	7520
1221	5166	7516
1222	5170	7513
1223	5175	7510
1224	5185	7513
1225	5189	7509
1226	5193	7504
1227	5197	7500
1228	5202	7497
1229	5207	7493
1230	5212	7490
1231	5217	7487
1232	5221	7482
1233	5225	7477
1234	5229	7473
1235	5233	7469
1236	5238	7466
1237	5243	7462
1238	5249	7461
1239	5254	7457
1240	5258	7454
1241	5263	7450
1242	5269	7448
1243	5273	7443
1244	5276	7438
1245	5280	7433
1246	5284	7428
1247	5288	7424
1248	5292	7419
1249	5296	7414
1250	5300	7410
